epoch,loss,lr,mean_absolute_error,time
0,1.6862768206725982,0.5,1.1665673,28.245941162109375
1,1.6778606808705565,0.5,1.163856,16.503336668014526
2,1.6719134611776099,0.5,1.1609946,16.111231565475464
3,1.7039941611971394,0.5,1.1753101,11.104996919631958
