epoch,loss,lr,mean_absolute_error,time
0,0.11081167205084815,0.5,0.27800882,12.436903953552246
1,0.09413335241030532,0.5,0.26097572,2.3766863346099854
2,0.09248028683062633,0.5,0.25969487,2.1997549533843994
3,0.09068596620071881,0.5,0.25737733,2.235015869140625
